\\ Λ
"χωρα, ἡ",gebied
οἰκεω,wonen
"φοβος, ὁ",angst
φευγω,vluchten
"μαχη, ἡ",gevecht
"δεσποτης, ὁ",heerser
δεινος,verschrikkelijk
θνητος,sterfelijk
ἀθανατος,onsterfelijk
ζητεω,zoeken

\\ Μ
εὑρισκω,vinden
μακρος,lang
ἀποκτεινω,doden
καλεω,roepen
νεος,"nieuw, jong"
"πετρα, ἡ",rots
κρυπτω,verbergen
"πολεμος, ὁ",oorlog
φιλεω,houden van
φιλος,bevriend

\\ Ν
θαυμαζω,bewonderen
αἰτεω,verzoeken
ἐπιθυμεω,verlangen
ἐθελω,willen
πεμπω,sturen
"ἑταιρος, ὁ",vriend
παρεχω,verschaffen
λυω,losmaken
κελευω,bevelen
κρατεω +gen,overwinnen
